Pago,DiasEnvio(Real),DiasEnvio(Programado),BeneficioPorPedido,EstadoEntrega,RiesgoEntregaTardia,Categoria,PaisCliente,IDCliente,SegmentoCliente,PaisPedido,FechaPedido,IDPedido,IDArticuloPedido,PrecioArticuloPedido,CantidadArticulosPedido,Ventas,TotalArticulosPedido,GananciaPorPedido,RegionPedido,DestinoPedido,EstadoPedido,IDProducto,CategoriaProducto,NombreProducto,PrecioProducto,FechaEnvio,ModoEnvio
TRANSFER,2,4,7.408.999.634,Advance shipping,0,Baseball & Softball,Puerto Rico,1273,Consumer,Argentina,4/30/2015 23:49,8221,20537,5.999.000.168,5,2.999.500.122,2.849.500.122,7.408.999.634,South America,Buenos Aires,PROCESSING,44,3,adidas Men's F10 Messi TRX FG Soccer Cleat,5.999.000.168,05/02/2015 23:49,Standard Class
TRANSFER,2,4,-22.5,Advance shipping,0,Cardio Equipment,Puerto Rico,4781,Consumer,Brasil,05/07/2015 1:13,8636,21551,9.998.999.786,5,4.999.500.122,4.499.599.915,-22.5,South America,São Paulo,PROCESSING,191,9,Nike Men's Free 5.0+ Running Shoe,9.998.999.786,05/09/2015 1:13,Standard Class
TRANSFER,3,4,5.906.000.137,Advance shipping,0,Boxing & MMA,Puerto Rico,10668,Consumer,Brasil,06/12/2017 5:55,61192,153077,8.998.999.786,5,4.499.500.122,3.374.599.915,5.906.000.137,South America,Marañón,PROCESSING,251,12,Brooks Women's Ghost 6 Running Shoe,8.998.999.786,6/15/2017 5:55,Standard Class
TRANSFER,3,4,3.322.000.122,Advance shipping,0,Cleats,Puerto Rico,11106,Consumer,Argentina,02/06/2017 6:27,52562,131382,5.999.000.168,5,2.999.500.122,2.939.500.122,3.322.000.122,South America,Río Negro,PROCESSING,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,02/09/2017 6:27,Standard Class
TRANSFER,6,4,4.979.000.092,Late delivery,1,Cleats,EE. UU.,12431,Corporate,Brasil,1/27/2017 2:16,51865,129598,5.999.000.168,2,1.199.800.034,9.958.000.183,4.979.000.092,South America,Distrito Federal,PROCESSING,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,02/02/2017 2:16,Standard Class
TRANSFER,3,4,35,Advance shipping,0,Women's Apparel,EE. UU.,10860,Corporate,Brasil,02/12/2015 20:36,2937,7333,50,2,100,100,35,South America,Pará,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,2/15/2015 20:36,Standard Class
TRANSFER,2,4,43,Advance shipping,0,Women's Apparel,EE. UU.,12094,Corporate,Brasil,03/05/2017 18:30,54446,136156,50,2,100,100,43,South America,Santa Catarina,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,03/07/2017 18:30,Standard Class
TRANSFER,6,4,1.188.000.011,Late delivery,1,Women's Apparel,EE. UU.,8993,Corporate,Brasil,2/19/2017 7:19,53455,133575,50,2,100,95,1.188.000.011,South America,Minas Gerais,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,2/25/2017 7:19,Standard Class
TRANSFER,5,4,2.460.000.038,Late delivery,1,Shop By Sport,EE. UU.,3131,Corporate,Brasil,4/24/2017 3:43,57829,144695,3.999.000.168,2,7.998.000.336,7.277.999.878,2.460.000.038,South America,Santa Catarina,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,4/29/2017 3:43,Standard Class
TRANSFER,4,4,2.142.000.008,Shipping on time,0,Women's Apparel,EE. UU.,9634,Corporate,Brasil,02/03/2017 5:14,52353,130831,50,2,100,90,2.142.000.008,South America,Amazonas,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,02/07/2017 5:14,Standard Class
TRANSFER,5,4,2.817.000.008,Late delivery,1,Women's Apparel,EE. UU.,8010,Corporate,Brasil,1/27/2015 0:39,1784,4452,50,2,100,90,2.817.000.008,South America,São Paulo,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,02/01/2015 0:39,Standard Class
TRANSFER,2,4,2.163.999.939,Advance shipping,0,Shop By Sport,EE. UU.,1695,Corporate,Brasil,02/06/2017 20:07,52601,131482,3.999.000.168,2,7.998.000.336,6.558.000.183,2.163.999.939,South America,São Paulo,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,02/08/2017 20:07,Standard Class
TRANSFER,6,4,-9.050.000.191,Late delivery,1,Shop By Sport,EE. UU.,9884,Corporate,Argentina,03/10/2015 0:15,4660,11689,3.999.000.168,2,7.998.000.336,6.558.000.183,-9.050.000.191,South America,Santa Fe,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,3/16/2015 0:15,Standard Class
TRANSFER,5,4,721.999.979,Late delivery,1,Women's Apparel,EE. UU.,8498,Corporate,Brasil,2/21/2015 15:31,3539,8807,50,2,100,82,721.999.979,South America,Paraná,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,2/26/2015 15:31,Standard Class
TRANSFER,4,4,3.679.999.924,Shipping on time,0,Women's Apparel,EE. UU.,7534,Corporate,Brasil,03/06/2017 9:13,54488,136276,50,2,100,80,3.679.999.924,South America,São Paulo,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,03/10/2017 9:13,Standard Class
TRANSFER,3,4,1.369.999.981,Advance shipping,0,Accessories,EE. UU.,8925,Corporate,Brasil,3/25/2015 8:49,5712,14229,2.498.999.977,2,4.997.999.954,4.722.999.954,1.369.999.981,South America,Goiás,PROCESSING,905,40,Team Golf Texas Longhorns Putter Grip,2.498.999.977,3/28/2015 8:49,Standard Class
TRANSFER,5,4,1.582.999.992,Late delivery,1,Golf Balls,EE. UU.,5981,Corporate,Brasil,5/16/2015 21:00,9309,23226,1.998.999.977,2,3.997.999.954,3.597.999.954,1.582.999.992,South America,Minas Gerais,PROCESSING,804,36,Glove It Women's Imperial Golf Glove,1.998.999.977,5/21/2015 21:00,Standard Class
PAYMENT,3,2,9.072.000.122,Late delivery,1,Women's Apparel,Puerto Rico,2339,Home Office,Brasil,3/15/2015 14:05,5042,12615,50,4,200,189,9.072.000.122,South America,São Paulo,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,3/18/2015 14:05,Second Class
PAYMENT,4,2,5.095.000.076,Late delivery,1,Electronics,Puerto Rico,8986,Home Office,Brasil,03/01/2017 3:05,54128,135348,5.199.000.168,4,2.079.600.067,2.038.000.031,5.095.000.076,South America,São Paulo,PENDING_PAYMENT,823,37,Titleist Pro V1x High Numbers Personalized Go,5.199.000.168,03/05/2017 3:05,Second Class
TRANSFER,3,4,9.501.999.664,Advance shipping,0,Cleats,Puerto Rico,1222,Consumer,Brasil,5/14/2015 3:29,9122,22760,5.999.000.168,5,2.999.500.122,2.639.599.915,9.501.999.664,South America,Espíritu Santo,PROCESSING,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,5/17/2015 3:29,Standard Class
TRANSFER,2,4,3.499.000.168,Advance shipping,0,Shop By Sport,Puerto Rico,4078,Consumer,Brasil,6/14/2017 11:53,61346,153470,3.999.000.168,5,1.999.499.969,1.999.499.969,3.499.000.168,South America,Santa Catarina,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,6/16/2017 11:53,Standard Class
TRANSFER,2,4,-3.684.000.015,Advance shipping,0,Shop By Sport,Puerto Rico,7446,Consumer,Brasil,3/18/2017 18:18,55336,138382,3.999.000.168,5,1.999.499.969,1.959.499.969,-3.684.000.015,South America,São Paulo,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,3/20/2017 18:18,Standard Class
TRANSFER,6,4,7.449.999.809,Late delivery,1,Shop By Sport,Puerto Rico,11455,Consumer,Brasil,2/24/2017 11:41,53810,134532,3.999.000.168,5,1.999.499.969,1.959.499.969,7.449.999.809,South America,Santa Catarina,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,03/02/2017 11:41,Standard Class
TRANSFER,3,4,3.827.999.878,Advance shipping,0,Women's Apparel,Puerto Rico,10093,Consumer,Brasil,04/12/2017 12:29,57032,142664,50,5,250,217.5,3.827.999.878,South America,São Paulo,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,4/15/2017 12:29,Standard Class
TRANSFER,4,4,2.719.000.053,Shipping on time,0,Women's Apparel,Puerto Rico,12119,Consumer,Brasil,5/28/2015 14:41,10113,25272,50,5,250,217.5,2.719.000.053,South America,Santa Catarina,PROCESSING,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,06/01/2015 14:41,Standard Class
TRANSFER,2,4,1.326.000.023,Advance shipping,0,Shop By Sport,Puerto Rico,11310,Consumer,Brasil,1/21/2015 5:13,1386,3424,3.999.000.168,5,1.999.499.969,1.699.600.067,1.326.000.023,South America,São Paulo,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,1/23/2015 5:13,Standard Class
TRANSFER,2,4,3.359.000.015,Advance shipping,0,Shop By Sport,Puerto Rico,155,Consumer,Brasil,5/14/2017 13:09,59226,148243,3.999.000.168,5,1.999.499.969,1.679.600.067,3.359.000.015,South America,São Paulo,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,5/16/2017 13:09,Standard Class
TRANSFER,5,4,-2.459.400.024,Late delivery,1,Shop By Sport,Puerto Rico,7720,Consumer,Brasil,4/25/2017 14:45,57929,144928,3.999.000.168,5,1.999.499.969,1.639.600.067,-2.459.400.024,South America,Distrito Federal,PROCESSING,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,4/30/2017 14:45,Standard Class
TRANSFER,4,4,5.509.999.847,Shipping on time,0,Accessories,Puerto Rico,9501,Consumer,Brasil,05/08/2015 9:27,8728,21771,2.498.999.977,5,1.249.499.969,1.224.499.969,5.509.999.847,South America,Amapá,PROCESSING,897,40,Team Golf New England Patriots Putter Grip,2.498.999.977,05/12/2015 9:27,Standard Class
TRANSFER,4,4,1.185.999.966,Shipping on time,0,Accessories,Puerto Rico,12119,Consumer,Brasil,5/28/2015 14:41,10113,25271,2.498.999.977,5,1.249.499.969,1.049.599.991,1.185.999.966,South America,Santa Catarina,PROCESSING,893,40,Team Golf Pittsburgh Steelers Putter Grip,2.498.999.977,06/01/2015 14:41,Standard Class
TRANSFER,5,4,1.023.799.973,Shipping canceled,0,Girls' Apparel,Puerto Rico,6306,Consumer,Brasil,3/28/2015 9:20,5919,14727,70,5,350,315,1.023.799.973,South America,Acre,SUSPECTED_FRAUD,565,26,adidas Youth Germany Black/Red Away Match Soc,70,04/02/2015 9:20,Standard Class
TRANSFER,5,4,98,Shipping canceled,0,Women's Apparel,Puerto Rico,11273,Consumer,Brasil,6/15/2017 13:27,61419,153614,50,5,250,200,98,South America,Río de Janeiro,SUSPECTED_FRAUD,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,6/20/2017 13:27,Standard Class
TRANSFER,5,4,5.249.000.168,Shipping canceled,0,Shop By Sport,Puerto Rico,6306,Consumer,Brasil,3/28/2015 9:20,5919,14724,3.999.000.168,5,1.999.499.969,1.499.600.067,5.249.000.168,South America,Acre,SUSPECTED_FRAUD,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,04/02/2015 9:20,Standard Class
TRANSFER,2,4,8.929.000.092,Shipping canceled,0,Cardio Equipment,EE. UU.,1180,Corporate,Brasil,5/28/2015 15:44,10116,25275,9.998.999.786,2,1.999.799.957,1.899.799.957,8.929.000.092,South America,São Paulo,SUSPECTED_FRAUD,191,9,Nike Men's Free 5.0+ Running Shoe,9.998.999.786,5/30/2015 15:44,Standard Class
TRANSFER,5,4,-1.078.700.027,Shipping canceled,0,Cardio Equipment,EE. UU.,10864,Corporate,Brasil,5/27/2015 4:00,10014,25020,9.998.999.786,2,1.999.799.957,1.739.799.957,-1.078.700.027,South America,Marañón,SUSPECTED_FRAUD,191,9,Nike Men's Free 5.0+ Running Shoe,9.998.999.786,06/01/2015 4:00,Standard Class
TRANSFER,2,4,3.465.000.153,Shipping canceled,0,Women's Apparel,EE. UU.,7887,Corporate,Brasil,5/30/2015 23:47,10276,25725,50,2,100,99,3.465.000.153,South America,Bahía,SUSPECTED_FRAUD,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,06/01/2015 23:47,Standard Class
TRANSFER,2,4,2.547.999.954,Shipping canceled,0,Women's Apparel,EE. UU.,2817,Corporate,Brasil,02/12/2015 11:30,2911,7273,50,2,100,98,2.547.999.954,South America,Río de Janeiro,SUSPECTED_FRAUD,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,2/14/2015 11:30,Standard Class
TRANSFER,4,4,-1.238.000.011,Shipping canceled,0,Shop By Sport,EE. UU.,2013,Corporate,Brasil,2/20/2017 22:54,53568,133877,3.999.000.168,2,7.998.000.336,7.598.000.336,-1.238.000.011,South America,São Paulo,SUSPECTED_FRAUD,627,29,Under Armour Girls' Toddler Spine Surge Runni,3.999.000.168,2/24/2017 22:54,Standard Class
TRANSFER,4,4,2.239.999.962,Shipping canceled,0,Women's Apparel,EE. UU.,2013,Corporate,Brasil,2/20/2017 22:54,53568,133879,50,2,100,80,2.239.999.962,South America,São Paulo,SUSPECTED_FRAUD,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,2/24/2017 22:54,Standard Class
PAYMENT,4,2,1.411.000.061,Late delivery,1,Cleats,Puerto Rico,8541,Home Office,Brasil,04/11/2017 15:49,56973,142498,5.999.000.168,5,2.999.500.122,2.939.500.122,1.411.000.061,South America,Bahía,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,4/15/2017 15:49,Second Class
PAYMENT,3,2,-3.680.000.067,Late delivery,1,Cleats,Puerto Rico,6268,Home Office,Brasil,04/02/2017 16:01,56357,140964,5.999.000.168,5,2.999.500.122,2.834.500.122,-3.680.000.067,South America,São Paulo,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,04/05/2017 16:01,Second Class
PAYMENT,5,2,109.25,Late delivery,1,Women's Apparel,Puerto Rico,146,Home Office,Brasil,5/29/2015 8:33,10164,25402,50,5,250,237.5,109.25,South America,Marañón,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,06/03/2015 8:33,Second Class
PAYMENT,4,2,6.886.000.061,Late delivery,1,Women's Apparel,Puerto Rico,8986,Home Office,Brasil,03/01/2017 3:05,54128,135347,50,5,250,220,6.886.000.061,South America,São Paulo,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,03/05/2017 3:05,Second Class
PAYMENT,4,2,5.654.999.924,Late delivery,1,Women's Apparel,Puerto Rico,8986,Home Office,Brasil,03/01/2017 3:05,54128,135345,50,5,250,217.5,5.654.999.924,South America,São Paulo,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,03/05/2017 3:05,Second Class
PAYMENT,3,2,7.612.999.725,Late delivery,1,Women's Apparel,Puerto Rico,2339,Home Office,Brasil,3/15/2015 14:05,5042,12613,50,5,250,217.5,7.612.999.725,South America,São Paulo,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,3/18/2015 14:05,Second Class
PAYMENT,4,2,30.75,Late delivery,1,Women's Apparel,Puerto Rico,9272,Home Office,Brasil,1/18/2017 19:37,51298,128200,50,5,250,205,30.75,South America,São Paulo,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,1/22/2017 19:37,Second Class
DEBIT,4,2,28.5,Late delivery,1,Cardio Equipment,Puerto Rico,8398,Consumer,Brasil,5/30/2015 15:43,10253,25659,9.998.999.786,1,9.998.999.786,9.498.999.786,28.5,South America,Minas Gerais,COMPLETE,191,9,Nike Men's Free 5.0+ Running Shoe,9.998.999.786,06/03/2015 15:43,Second Class
DEBIT,2,2,-1.546.799.927,Shipping on time,0,Cardio Equipment,Puerto Rico,8360,Consumer,Argentina,2/24/2017 13:47,53816,134546,9.998.999.786,1,9.998.999.786,9.098.999.786,-1.546.799.927,South America,Salta,COMPLETE,191,9,Nike Men's Free 5.0+ Running Shoe,9.998.999.786,2/26/2017 13:47,Second Class
TRANSFER,4,4,1.612.599.945,Shipping canceled,0,Cardio Equipment,EE. UU.,9154,Consumer,Argentina,05/04/2015 21:22,8488,21192,9.998.999.786,4,3.999.599.915,3.359.700.012,1.612.599.945,South America,Misiones,CANCELED,191,9,Nike Men's Free 5.0+ Running Shoe,9.998.999.786,05/08/2015 21:22,Standard Class
TRANSFER,4,4,-2.650.000.095,Shipping canceled,0,Cleats,EE. UU.,1753,Consumer,Brasil,1/21/2015 4:10,1383,3417,5.999.000.168,4,2.399.600.067,2.039.700.012,-2.650.000.095,South America,São Paulo,CANCELED,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,1/25/2015 4:10,Standard Class
TRANSFER,4,4,1.007.799.988,Shipping canceled,0,Cleats,EE. UU.,1753,Consumer,Brasil,1/21/2015 4:10,1383,3414,5.999.000.168,4,2.399.600.067,2.015.700.073,1.007.799.988,South America,São Paulo,CANCELED,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,1/25/2015 4:10,Standard Class
TRANSFER,4,4,5.377.999.878,Shipping canceled,0,Cleats,EE. UU.,10042,Consumer,Brasil,01/11/2015 18:12,738,1813,5.999.000.168,4,2.399.600.067,1.991.699.982,5.377.999.878,South America,São Paulo,CANCELED,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,1/15/2015 18:12,Standard Class
TRANSFER,2,4,5.775.999.832,Shipping canceled,0,Cleats,EE. UU.,9698,Consumer,Brasil,04/04/2017 9:42,56476,141276,5.999.000.168,4,2.399.600.067,1.991.699.982,5.775.999.832,South America,São Paulo,CANCELED,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,04/06/2017 9:42,Standard Class
TRANSFER,4,4,9.958.000.183,Shipping canceled,0,Cleats,EE. UU.,9154,Consumer,Argentina,05/04/2015 21:22,8488,21191,5.999.000.168,4,2.399.600.067,1.991.699.982,9.958.000.183,South America,Misiones,CANCELED,365,17,Perfect Fitness Perfect Rip Deck,5.999.000.168,05/08/2015 21:22,Standard Class
TRANSFER,6,4,2.004.000.092,Late delivery,1,Hockey,Puerto Rico,4768,Home Office,Brasil,4/20/2017 10:44,57575,144033,22,2,44,4.356.000.137,2.004.000.092,South America,Rio Grande do Sul,PROCESSING,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,4/26/2017 10:44,Standard Class
DEBIT,5,2,4.309.999.943,Late delivery,1,Hockey,EE. UU.,9532,Corporate,Argentina,3/31/2017 20:55,56234,140656,22,2,44,4.311.999.893,4.309.999.943,South America,Buenos Aires,ON_HOLD,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,04/05/2017 20:55,Second Class
CASH,4,2,2.028.000.069,Late delivery,1,Hockey,Puerto Rico,10076,Consumer,Argentina,2/20/2017 14:08,53543,133816,22,2,44,4.224.000.168,2.028.000.069,South America,Buenos Aires,CLOSED,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,2/24/2017 14:08,Second Class
CASH,2,1,-1.671.999.931,Late delivery,1,Hockey,Puerto Rico,3686,Consumer,Brasil,2/16/2017 23:57,53297,133167,22,2,44,4.179.999.924,-1.671.999.931,South America,São Paulo,CLOSED,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,2/18/2017 23:57,First Class
TRANSFER,2,4,4.820.000.172,Advance shipping,0,Hockey,EE. UU.,7762,Consumer,Brasil,2/15/2017 9:04,53186,132893,22,3,66,5.543.999.863,4.820.000.172,South America,São Paulo,PROCESSING,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,2/17/2017 9:04,Standard Class
DEBIT,3,2,1.580.000.019,Late delivery,1,Hockey,Puerto Rico,263,Consumer,Brasil,02/08/2017 16:15,52727,131818,22,4,88,8.316.000.366,1.580.000.019,South America,Paraná,COMPLETE,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,02/11/2017 16:15,Second Class
CASH,2,1,3.030.999.947,Late delivery,1,Hockey,Puerto Rico,1092,Corporate,Brasil,02/03/2017 13:17,52376,130897,22,5,110,104.5,3.030.999.947,South America,Ceará,CLOSED,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,02/05/2017 13:17,First Class
DEBIT,6,4,3.513.999.939,Late delivery,1,Hockey,EE. UU.,7103,Consumer,Argentina,1/30/2017 7:20,52085,130134,22,5,110,1.039.499.969,3.513.999.939,South America,Santa Fe,ON_HOLD,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,02/05/2017 7:20,Standard Class
DEBIT,0,0,1.081.000.042,Shipping on time,0,Hockey,Puerto Rico,7913,Consumer,Brasil,5/30/2015 9:04,10234,25591,22,2,44,4.158.000.183,1.081.000.042,South America,Pernambuco,COMPLETE,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,5/30/2015 21:04,Same Day
DEBIT,2,1,143.199.997,Late delivery,1,Hockey,Puerto Rico,12183,Corporate,Brasil,5/28/2015 6:16,10089,25200,22,2,44,4.091.999.817,143.199.997,South America,Mato Grosso,COMPLETE,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,5/30/2015 6:16,First Class
TRANSFER,6,4,-2.970.000.076,Late delivery,1,Hockey,Puerto Rico,6576,Consumer,Brasil,5/14/2015 2:47,9120,22754,22,2,44,3.959.999.847,-2.970.000.076,South America,Espíritu Santo,PENDING,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,5/20/2015 2:47,Standard Class
TRANSFER,4,2,1.755.999.947,Late delivery,1,Hockey,EE. UU.,5875,Corporate,Argentina,05/12/2015 20:18,9033,22522,22,3,66,6.270.000.076,1.755.999.947,South America,Mendoza,PROCESSING,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,5/16/2015 20:18,Second Class
DEBIT,0,0,1.243.999.958,Shipping on time,0,Hockey,Puerto Rico,12340,Corporate,Brasil,05/10/2015 11:12,8870,22142,22,2,44,3.827.999.878,1.243.999.958,South America,Bahía,COMPLETE,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,05/10/2015 23:12,Same Day
PAYMENT,2,4,4.688.999.939,Advance shipping,0,Hockey,Puerto Rico,4697,Consumer,Brasil,05/09/2015 19:47,8826,22038,22,5,110,9.569.999.695,4.688.999.939,South America,Paraná,PENDING_PAYMENT,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,05/11/2015 19:47,Standard Class
DEBIT,2,1,1.039.999.962,Late delivery,1,Hockey,EE. UU.,11983,Consumer,Brasil,05/02/2015 10:09,8319,20781,22,1,22,2.079.000.092,1.039.999.962,South America,Tocantins,COMPLETE,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,05/04/2015 10:09,First Class
TRANSFER,6,4,1.047.000.027,Late delivery,1,Hockey,EE. UU.,10734,Corporate,Brasil,4/30/2015 5:57,8170,20412,22,2,44,3.740.000.153,1.047.000.027,South America,Distrito Federal,PENDING,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,05/06/2015 5:57,Standard Class
DEBIT,5,4,6.739.999.771,Late delivery,1,Hockey,EE. UU.,2615,Consumer,Brasil,03/08/2015 14:37,4564,11436,22,4,88,7.655.999.756,6.739.999.771,South America,Bahía,COMPLETE,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,3/13/2015 14:37,Standard Class
DEBIT,4,4,1.407.999.992,Shipping on time,0,Hockey,EE. UU.,2615,Consumer,Brasil,02/10/2015 14:39,2783,6987,22,4,88,7.040.000.153,1.407.999.992,South America,Minas Gerais,COMPLETE,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,2/14/2015 14:39,Standard Class
TRANSFER,2,1,5.170.000.076,Late delivery,1,Hockey,Puerto Rico,6560,Corporate,Brasil,02/08/2015 13:36,2643,6632,22,1,22,1.913.999.939,5.170.000.076,South America,Goiás,PENDING,135,7,Nike Dri-FIT Crew Sock 6 Pack,22,02/10/2015 13:36,First Class
